Time_s,depth_mm
11.0135324,7.113893792
11.02464414,7.114261133
11.06916547,7.114608602
11.0782907,7.114633449
11.08758211,7.114280974
11.09843826,7.114697979
11.13967705,7.114936229
11.14883018,7.114998302
11.15820575,7.114665699
11.16951728,7.114457212
11.21182203,7.115105003
11.22096992,7.115196838
11.23011971,7.115137283
11.24128604,7.115489728
11.28322721,7.11570319
11.29266477,7.115720544
11.30181265,7.115340795
11.31257534,7.115708136
11.3545084,7.115956337
11.36383986,7.116212
11.37286997,7.115869477
11.38585043,7.115886861
11.42674518,7.116261634
11.43602085,7.115968745
11.44514704,7.115554258
11.45448828,7.116403104
11.49771547,7.116494939
11.50696182,7.116658768
11.51601481,7.116993828
11.52607775,7.116614079
11.56927657,7.116420488
11.57862186,7.116681097
11.58784008,7.116825054
11.59694314,7.117117943
11.65301514,7.117050925
11.66246438,7.117356193
11.67166805,7.117688796
11.68417573,7.116810158
11.72484446,7.117338839
11.73401213,7.117869978
11.74348831,7.1176739
11.7542572,7.117788064
11.79656982,7.117671412
11.80591321,7.117649083
11.81513548,7.117311534
11.82617164,7.117641649
11.86951518,7.118403605
11.878582,7.118301849
11.88773775,7.118492953
11.89901137,7.118232344
11.94170403,7.118071033
11.95082593,7.118138051
11.9600482,7.118545075
11.97104859,7.11860466
12.01361179,7.118798251
12.0226686,7.118018911
12.0317235,7.118043728
12.04304719,7.118904982
12.08662724,7.118780867
12.0958426,7.118862781
12.1050148,7.11885286
12.11605167,7.118624501
12.15902066,7.118902495
12.16814518,7.119508115
12.17745948,7.119386487
12.18762016,7.119413792
12.23129463,7.118823068
12.24061799,7.118808172
12.2497642,7.11968681
12.26135492,7.119887864
12.3042531,7.119845663
12.31358457,7.11989281
12.32266712,7.119197872
12.33370972,7.119788566
12.37686324,7.120329656
12.38609767,7.120131089
12.39554167,7.119202817
12.4067781,7.119959828
12.44838738,7.120687076
12.45755506,7.120667204
12.4666841,7.120533168
12.48068047,7.120116193
12.52131176,7.120652308
12.53040242,7.120818624
12.53951621,7.120947685
